id,mes,anio
p1,01,2010
p2,02,2010
p3,03,2010
p4,04,2010
p5,05,2010
p6,06,2010
p7,07,2010
p8,08,2010
p9,09,2010
p10,10,2010
p11,11,2010
p12,12,2010
p13,01,2011
p14,02,2011
p15,03,2011
p16,04,2011
p17,05,2011
p18,06,2011
p19,07,2011
p20,08,2011
p21,09,2011
p22,10,2011
p23,11,2011
p24,12,2011
p25,01,2012
p26,02,2012
p27,03,2012
p28,04,2012
p29,05,2012
p30,06,2012
p31,07,2012
p32,08,2012
p33,09,2012
p34,10,2012
p35,11,2012
p36,12,2012
p37,01,2013
p38,02,2013
p39,03,2013
p40,04,2013
p41,05,2013
p42,06,2013
p43,07,2013
p44,08,2013
p45,09,2013
p46,10,2013
p47,11,2013
p48,12,2013
p49,01,2014
p50,02,2014
p51,03,2014
p52,04,2014
p53,05,2014
p54,06,2014
p55,07,2014
p56,08,2014
p57,09,2014
p58,10,2014
p59,11,2014
p60,12,2014
p61,01,2015
p62,02,2015
p63,03,2015
p64,04,2015
p65,05,2015
p66,06,2015
p67,07,2015
p68,08,2015
p69,09,2015
p70,10,2015
p71,11,2015
p72,12,2015
p73,01,2016
p74,02,2016
p75,03,2016
p76,04,2016
p77,05,2016
p78,06,2016
p79,07,2016
p80,08,2016
p81,09,2016
p82,10,2016
p83,11,2016
p84,12,2016
p85,01,2017
p86,02,2017
p87,03,2017
p88,04,2017
p89,05,2017
p90,06,2017
p91,07,2017
p92,08,2017
p93,09,2017
p94,10,2017
p95,11,2017
p96,12,2017
p97,01,2018
p98,02,2018
p99,03,2018
p100,04,2018
p101,05,2018
p102,06,2018
p103,07,2018
p104,08,2018
p105,09,2018
p106,10,2018
p107,11,2018
p108,12,2018
p109,01,2019
p110,02,2019
p111,03,2019
p112,04,2019
p113,05,2019
p114,06,2019
p115,07,2019
p116,08,2019
p117,09,2019
p118,10,2019
p119,11,2019
p120,12,2019
p121,01,2020
p122,02,2020
p123,03,2020
p124,04,2020
p125,05,2020
p126,06,2020
p127,07,2020
p128,08,2020
p129,09,2020
p130,10,2020
p131,11,2020
p132,12,2020
p133,01,2021
p134,02,2021
p135,03,2021
p136,04,2021
p137,05,2021
p138,06,2021
p139,07,2021
p140,08,2021
p141,09,2021
p142,10,2021
p143,11,2021
p144,12,2021
p145,01,2022
p146,02,2022
p147,03,2022
p148,04,2022
p149,05,2022
p150,06,2022
p151,07,2022
p152,08,2022
p153,09,2022
p154,10,2022
p155,11,2022
p156,12,2022
p157,01,2023
p158,02,2023
p159,03,2023
p160,04,2023
p161,05,2023
p162,06,2023
p163,07,2023
p164,08,2023
p165,09,2023
p166,10,2023
p167,11,2023
p168,12,2023
p169,01,2024
p170,02,2024
p171,03,2024
p172,04,2024
p173,05,2024
p174,06,2024
p175,07,2024
p176,08,2024
p177,09,2024
p178,10,2024
p179,11,2024
p180,12,2024
p181,01,2025
p182,02,2025
p183,03,2025
p184,04,2025
p185,05,2025
p186,06,2025
p187,07,2025
p188,08,2025
p189,09,2025
p190,10,2025
p191,11,2025
p192,12,2025
p193,01,2026
p194,02,2026
p195,03,2026
p196,04,2026
p197,05,2026
p198,06,2026
p199,07,2026
p200,08,2026
p201,09,2026
p202,10,2026
p203,11,2026
p204,12,2026
p205,01,2027
p206,02,2027
p207,03,2027
p208,04,2027
p209,05,2027
p210,06,2027
p211,07,2027
p212,08,2027
p213,09,2027
p214,10,2027
p215,11,2027
p216,12,2027
p217,01,2028
p218,02,2028
p219,03,2028
p220,04,2028
p221,05,2028
p222,06,2028
p223,07,2028
p224,08,2028
p225,09,2028
p226,10,2028
p227,11,2028
p228,12,2028
p229,01,2029
p230,02,2029
p231,03,2029
p232,04,2029
p233,05,2029
p234,06,2029
p235,07,2029
p236,08,2029
p237,09,2029
p238,10,2029
p239,11,2029
p240,12,2029
p241,01,2030
p242,02,2030
p243,03,2030
p244,04,2030
p245,05,2030
p246,06,2030
p247,07,2030
p248,08,2030
p249,09,2030
p250,10,2030
p251,11,2030
p252,12,2030
p253,01,2031
p254,02,2031
p255,03,2031
p256,04,2031
p257,05,2031
p258,06,2031
p259,07,2031
p260,08,2031
p261,09,2031
p262,10,2031
p263,11,2031
p264,12,2031
p265,01,2032
p266,02,2032
p267,03,2032
p268,04,2032
p269,05,2032
p270,06,2032
p271,07,2032
p272,08,2032
p273,09,2032
p274,10,2032
p275,11,2032
p276,12,2032
p277,01,2033
p278,02,2033
p279,03,2033
p280,04,2033
p281,05,2033
p282,06,2033
p283,07,2033
p284,08,2033
p285,09,2033
p286,10,2033
p287,11,2033
p288,12,2033
p289,01,2034
p290,02,2034
p291,03,2034
p292,04,2034
p293,05,2034
p294,06,2034
p295,07,2034
p296,08,2034
p297,09,2034
p298,10,2034
p299,11,2034
p300,12,2034
p301,01,2035
p302,02,2035
p303,03,2035
p304,04,2035
p305,05,2035
p306,06,2035
p307,07,2035
p308,08,2035
p309,09,2035
p310,10,2035
p311,11,2035
p312,12,2035
p313,01,2036
p314,02,2036
p315,03,2036
p316,04,2036
p317,05,2036
p318,06,2036
p319,07,2036
p320,08,2036
p321,09,2036
p322,10,2036
p323,11,2036
p324,12,2036
p325,01,2037
p326,02,2037
p327,03,2037
p328,04,2037
p329,05,2037
p330,06,2037
p331,07,2037
p332,08,2037
p333,09,2037
p334,10,2037
p335,11,2037
p336,12,2037
p337,01,2038
p338,02,2038
p339,03,2038
p340,04,2038
p341,05,2038
p342,06,2038
p343,07,2038
p344,08,2038
p345,09,2038
p346,10,2038
p347,11,2038
p348,12,2038
p349,01,2039
p350,02,2039
p351,03,2039
p352,04,2039
p353,05,2039
p354,06,2039
p355,07,2039
p356,08,2039
p357,09,2039
p358,10,2039
p359,11,2039
p360,12,2039
p361,01,2040
p362,02,2040
p363,03,2040
p364,04,2040
p365,05,2040
p366,06,2040
p367,07,2040
p368,08,2040
p369,09,2040
p370,10,2040
p371,11,2040
p372,12,2040